trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.810157377815473}",25,0,-51.88904818407466,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.8061065909263957}",30,0,-168.96239076102333,"{0: 16, 1: 2, 2: 8, 3: 3, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.8020760579717637}",20,0,-119.73020092478905,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.798065677681905}",20,0,-40.23494578314397,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.7940753492934954}",30,0,-100.70371103003444,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.7901049725470279}",20,3,-94.26809148988102,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.7861544476842928}",20,0,0.43777173472403674,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.7822236754458713}",25,7,-66.57949483887069,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.778312557068642}",25,0,-87.49489596293989,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.7744209942832988}",25,0,-17.25851423379847,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.7705488893118823}",20,0,-101.66675389042571,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.7666961448653229}",20,9,-27.11193707971193,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.7628626641409962}",30,0,-189.7188858195367,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.7590483508202912}",20,13,-40.419188286712746,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.7552531090661897}",25,0,-77.76182410943059,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.7514768435208588}",30,0,-136.59813597116943,"{0: 17, 1: 3, 2: 6, 3: 4, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.7477194593032545}",25,12,-32.79513847767332,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.7439808620067382}",20,0,-31.89291159194217,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.7402609576967045}",20,2,-30.11318320166116,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.736559652908221}",25,8,1.9845452420688758,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.7328768546436799}",20,0,-16.630525741573695,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.7292124703704616}",20,0,-73.25667449061551,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.7255664080186093}",20,12,1.4089684698845684,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7219385759785162}",20,0,-139.73147055397848,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
66,False,"{'a': 0.01, 'e': 0.7183288830986236}",30,0,-149.42084417360144,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
67,False,"{'a': 0.01, 'e': 0.7147372386831305}",30,0,-235.64094119336588,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 5}",0
68,False,"{'a': 0.01, 'e': 0.7111635524897149}",25,0,-88.00867491587644,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7076077347272662}",20,0,-24.386652671898293,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7040696960536299}",30,0,-136.32713716990244,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.7005493475733617}",25,14,-41.297484373938666,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.01, 'e': 0.697046600835495}",30,24,7.46258695798781,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.6935613678313175}",25,0,-50.052744189789124,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.6900935609921609}",20,14,-32.10066547086956,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.6866430931872001}",20,0,-104.80601731292552,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.6832098777212641}",30,0,-81.60650918969947,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.6797938283326578}",20,5,-43.46690130622815,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.6763948591909945}",20,0,-131.9528415784346,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.01, 'e': 0.6730128848950395}",20,3,-16.38600631520823,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6696478204705644}",30,0,-122.35086805082074,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.6662995813682115}",20,0,-48.64114785465473,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6629680834613705}",25,0,-87.90272289501766,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.01, 'e': 0.6596532430440636}",25,1,-32.38756194286893,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6563549768288433}",20,10,-5.632340278498123,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.653073201944699}",25,10,0.9035225606278952,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6498078359349755}",20,0,-64.47836366687513,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.6465587967553006}",25,0,-38.83812093747646,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6433260027715241}",25,0,2.856572759210808,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6401093727576664}",20,1,-30.32204580789629,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6369088258938781}",25,13,-15.193373670419021,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6337242817644086}",20,0,-91.59814268263837,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6305556603555866}",30,0,-95.65108198011261,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.6274028820538087}",30,4,-38.450788479898506,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.6242658676435396}",20,0,-28.71677630170775,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.6211445383053219}",30,12,2.899800408024766,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.6180388156137953}",25,0,-81.54098514986484,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.6149486215357263}",30,0,-101.33726441774473,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 0.01, 'e': 0.6118738784280476}",35,12,-32.27134151700828,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.6088145090359074}",20,0,-18.440025668082836,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.6057704364907278}",20,0,-90.36021647944202,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.01, 'e': 0.6027415843082742}",25,2,-180.78359468872762,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 3}",1
102,False,"{'a': 0.01, 'e': 0.5997278763867329}",20,0,-29.995983894297275,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5967292370047992}",20,12,7.260537420669949,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5937455908197752}",25,0,-32.79795939898909,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.5907768628656763}",20,0,-29.277063555242815,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.5878229785513479}",25,15,-12.499675579014774,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.5848838636585911}",25,0,-53.61182074852431,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.5819594443402982}",20,14,-13.540048112690922,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.5790496471185967}",20,10,-35.05926603642334,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.5761543988830038}",25,5,-57.59401828156007,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.5732736268885887}",20,0,-35.51857825652543,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.5704072587541458}",25,14,-28.9027866258052,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.567555222460375}",30,0,-112.13506895014928,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.5647174463480732}",20,7,-41.06682205614599,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
