trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,9,-13.52968938590725,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,6,-57.282270246056434,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-35.90201684580279,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,5,-1.1661138694186948,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-34.17973980975328,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,0,-214.81151545000878,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,0,-119.76047767937557,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,0,-81.61242959966206,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,-97.06191956543563,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,5,-106.61079729709232,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,-156.8628519843193,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",30,1,-68.14324369178627,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,7,14.904357460514834,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,6,9.827853563353894,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,6,-63.584963947828165,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,3,-82.01836453001376,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,4.413324148520941,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,13,8.272301091849982,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,-0.164557726702369,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,5,-29.0618836703609,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-6.894291101441107,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,7,-94.24965851906862,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,1,14.220912632233883,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-33.90431974975226,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",30,1,-111.35487617457,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,14,18.23720552290589,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,13,-29.480070726963486,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",30,15,13.890544990996634,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,13,7.315905067975987,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,16,25.365496634322312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,0,14.549341018127537,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,0,-35.753186124335926,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,5,-9.093771763082211,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,7,-55.72732934127361,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,2,13.116015276529374,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,0,-8.26479130747602,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,5,-14.206850559916985,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,8,19.89138526471215,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,7,-36.61867275877094,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,16,15.743056332128484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,5,30.310249188143732,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,9,15.75229820700611,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,9,12.905249131520113,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",35,4,-58.82972332602045,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,15,7.841312574018683,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",20,8,19.830337361946803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,15,6.935036338268944,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",30,16,22.199853658281135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,8,-3.9017281966741306,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",30,19,6.076004674334298,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",30,19,22.942961083418595,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",25,4,31.824279687605895,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",20,7,20.842500315444333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,11.60544936414188,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,5,12.072688699815691,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,18,-20.72127421322739,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-69.77489544825487,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,7,2.3740153451020634,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,14,25.547203231821264,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,14,26.960601427182926,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,21,7.388159856610078,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,-1.2215676902066335,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,19.86989655093035,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
